controlled_cancer_type,condition_synonyms
Urological,cancer of the prostate
Urological,prostatic cancer
Urological,cancer of prostate
Urological,carcinoma of the prostate
Urological,prostate tumours
Urological,prostate tumors
Urological,testicular cancer
Urological,testicular neoplasm
Urological,malignant testicular germ cell tumor
Urological,cancer testis
Urological,testis cancer
Urological,testicular germ cell cancer
Urological,testicular tumor
Urological,testicle cancer
Urological,malignant neoplasms of urinary tract
Urological,urologic cancer
Urological,cancer of the urinary tract
Urological,malignant urinary system neoplasm
Urological,cancer of urinary tract
Female Reproductive Organs,ovarian neoplasm
Female Reproductive Organs,ovarian epithelial cancer
Female Reproductive Organs,ovarian cancer
Female Reproductive Organs,ovarian carcinoma
Female Reproductive Organs,ovarian tumor
Female Reproductive Organs,ovary cancer
Female Reproductive Organs,cancer of the ovary
Female Reproductive Organs,ovary neoplasm
Female Reproductive Organs,cancer of ovary
Female Reproductive Organs,tumor of ovary
Female Reproductive Organs,tumor of the ovary
Female Reproductive Organs,endometrial cancer
Female Reproductive Organs,endometrial carcinoma
Female Reproductive Organs,endometrium cancer
Female Reproductive Organs,cancer of the endometrium
Female Reproductive Organs,cancer of endometrium
Female Reproductive Organs,carcinoma of the endometrium
Female Reproductive Organs,cervical cancer
Female Reproductive Organs,cervical neoplasm
Female Reproductive Organs,cervical carcinoma
Female Reproductive Organs,cervix cancer
Female Reproductive Organs,carcinoma of the cervix
Female Reproductive Organs,cancer of the cervix
Head and Neck,head neck cancer
Head and Neck,head and neck cancer
Head and Neck,cancer of the head and neck
Head and Neck,head and neck tumor
Head and Neck,malignant head and neck neoplasm
Thymic,thymic cancer
Thymic,thymus-cancer
Thymic,thymus cancer
Thyroid,thyroid cancer
Thyroid,thyroid neoplasm
Thyroid,thyroid carcinoma
Thyroid,thyroid gland carcinoma
Thyroid,thyroid tumor
Thyroid,neoplasm of thyroid
Thyroid,cancer of the thyroid
Thyroid,carcinoma of the thyroid
Hepatobiliary,hepatobiliary cancer
Hepatobiliary,hepatobiliary tumour
Hepatobiliary,liver cancer
Hepatobiliary,liver neoplasm
Hepatobiliary,liver tumors
Hepatobiliary,hepatocellular cancers
Hepatobiliary,hepatoma
Hepatobiliary,hepatic tumor
Hepatobiliary,hepatic cancer
Hepatobiliary,cancer of liver
Hepatobiliary,hepatic neoplasms
Hepatobiliary,neoplasm of liver
Hepatobiliary,pancreatic cancer
Hepatobiliary,pancreatic neoplasm
Hepatobiliary,pancreas cancer
Hepatobiliary,pancreatic carcinoma
Hepatobiliary,cancer of the pancreas
Hepatobiliary,pancreatic tumors
Hepatobiliary,cancer of pancreas
Hepatobiliary,tumor of the pancreas
Hepatobiliary,carcinoma of the pancreas
Hepatobiliary,cholangiocarcinoma
Hepatobiliary,bile duct cancer
Hepatobiliary,Cholangiocellular carcinoma
Hepatobiliary,gall bladder cancer
Hepatobiliary,gall bladder carcinoma
Hepatobiliary,carcinoma of the gallbladder
Hepatobiliary,cancer of the gallbladder
Hepatobiliary,carcinoma gallbladder
Hepatobiliary,carcinoma of gallbladder
Hepatobiliary,ampullary cancer
Hepatobiliary,ampulla of Vater cancer
Hepatobiliary,Ampullary carcinoma
Solid,solid tumor
Solid,solid tumour
Solid,solid neoplasm
Brain,brain tumour
Brain,Brain Neoplasms
Brain,brain cancer
Brain,Tumor of the Brain
Brain,cancer of brain
Brain,cancer of the brain
Brain,Neoplasm of brain
Brain,Tumor of Brain
Brain,Neoplasm of the Brain
Cervical,cervical cancer
Cervical,Cervical Neoplasm
Cervical,cervical carcinoma
Cervical,Cervix Cancer
Cervical,Carcinoma of the Cervix
Cervical,Cancer of the Cervix
Cervical,Cervix Neoplasms
Cervical,cancer of cervix
Cervical,cervix carcinoma
Cervical,Carcinoma of Uterine Cervix
Cervical,Carcinoma of the Uterine Cervix
Cervical,Cancer of the uterine cervix
Cervical,CARCINOMA OF CERVIX
Cervical,Cervical tumor
Cervical,Neoplasm of Cervix
Cervical,Tumor of cervix
Cervical,cervix tumors
Cervical,Tumor of the Cervix
Cervical,carcinoma cervical
Cervical,carcinoma cervix uterine
Cervical,Cervix uteri cancer
